brand,model,fuel,build_year,mileage_km,transmission,body_type,title,price_cents,url
Alfa Romeo,Giulietta,Benzine,2013,117866,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.4 T Progression AIRCO CRUISE,800000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2406592788-alfa-romeo-giulietta-1-4-t-progression-airco-cruise
Alfa Romeo,MiTo,Benzine,2015,181294,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 T Junior BiFuel Nieuwe Distributie NAP,575000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2409990919-alfa-romeo-mito-1-4-t-junior-bifuel-nieuwe-distributie-nap
Alfa Romeo,Tonale,Hybride Elektrisch/Benzine,2022,112877,Automaat,SUV of Terreinwagen,Alfa Romeo Tonale 1.5T Hybrid Edizione Speciale | Sfeer | Vi,2280000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408587107-alfa-romeo-tonale-1-5t-hybrid-edizione-speciale-sfeer-vi
Alfa Romeo,MiTo,Benzine,2013,99000,Handgeschakeld,Hatchback,Alfa Romeo MiTo 0.9 TwinAir Distinctive navi LEER airco org,644500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2403338946-alfa-romeo-mito-0-9-twinair-distinctive-navi-leer-airco-org
Alfa Romeo,Stelvio,Benzine,2017,151871,Automaat,SUV of Terreinwagen,Alfa Romeo Stelvio 2.0 T AWD First Edition|280PK|PANO|CAMERA,2289000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408917962-alfa-romeo-stelvio-2-0-t-awd-first-edition-280pk-pano-camera
Alfa Romeo,MiTo,Benzine,2014,135770,Handgeschakeld,Hatchback,Alfa Romeo MiTo 0.9 TwinAir Distinctive|LEDER|NL AUTO|NAVI|C,484000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410470030-alfa-romeo-mito-0-9-twinair-distinctive-leder-nl-auto-navi-c
Alfa Romeo,147,Benzine,2005,190000,Handgeschakeld,Hatchback,Moet nu weg! goed onderhouden Alfa Romeo 147 1.6 T.spark,100000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2407990580-moet-nu-weg-goed-onderhouden-alfa-romeo-147-1-6-t-spark
Alfa Romeo,159,Benzine,2007,189000,Handgeschakeld,Sedan,Alfa Romeo 159 2.2 JTS 2007 Grijs,449900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410324389-alfa-romeo-159-2-2-jts-2007-grijs
Alfa Romeo,Stelvio,Benzine,2018,86743,Automaat,SUV of Terreinwagen,Alfa Romeo Stelvio 2.9 V6 AWD Quadrifoglio 511PK/Pano/Harman,4999500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2408844828-alfa-romeo-stelvio-2-9-v6-awd-quadrifoglio-511pk-pano-harman
Alfa Romeo,MiTo,Diesel,2012,240000,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.3 D 62KW 2012 Lamborghini Groen,550000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410031325-alfa-romeo-mito-1-3-d-62kw-2012-lamborghini-groen
